"","X1","X2"
"Unit 1",0.410266456584543,2.01068940395597
"Unit 2",3.08250802033735,1.17528639739636
"Unit 3",1.47512476495051,1.96929170386586
"Unit 4",2.62453581538484,3.08011606948305
"Unit 5",3.37820669571708,1.73655796242854
"Unit 6",2.49488719371686,3.36198824219843
"Unit 7",3.101937258496,2.9459169765709
"Unit 8",2.68059916491697,0.684342828147698
"Unit 9",1.13821916602029,2.45481792506862
"Unit 10",2.95789629233371,1.17986445180093
"Unit 11",0.641101173730762,1.38811223400345
"Unit 12",3.85290915115765,3.136638639922
"Unit 13",3.26960091744419,0.944695418470748
"Unit 14",3.1033914973684,3.24650686839527
"Unit 15",2.6327526941069,1.221304325446
"Unit 16",2.63241227892733,2.61991577931925
"Unit 17",1.12508836325769,1.52144001572955
"Unit 18",3.11519068780108,2.66945288763221
"Unit 19",2.82742489013377,3.13294302060538
"Unit 20",2.84203908637624,2.92660712102511
"Unit 21",1.21674715379301,1.6952085605096
"Unit 22",3.33095344025002,0.734929309034601
"Unit 23",2.30948303716703,1.38466481823908
"Unit 24",1.39721311282653,1.90047764449127
"Unit 25",2.93570582241462,1.43807587370777
"Unit 26",0.738272197901908,0.904234777574478
"Unit 27",0.827731083776296,2.25480097839616
"Unit 28",2.77816545638593,2.75895941203536
"Unit 29",2.8341018491132,1.46939982708927
"Unit 30",-0.0189590261572936,2.63455562541854
"Unit 31",0.72060565629007,1.68628821744671
"Unit 32",0.795553838954977,2.49743386457828
"Unit 33",3.25843190065613,0.895551673918872
"Unit 34",2.92884873931361,3.11232101295348
"Unit 35",2.53243621128969,0.842313814477888
"Unit 36",2.52649610320246,3.0600482323332
